,gene,moduleColor
0,LOC100190510,blue
1,PCP4,blue
2,CALM2,black
3,OAZ1,pink
4,CALM1,blue
5,CKB,blue
6,GAPDH,pink
7,GRIN1,red
8,LOC100190739,brown
9,ARPP19,blue
10,FTH1,pink
11,PPIA,blue
12,NSG1,blue
13,TMSB4X,black
14,LOC100190467,blue
15,ITM2A,blue
16,CAMK2N1,brown
17,CIRBP,black
18,LDHB,red
19,LOC100190461,pink
20,NSG2,blue
21,THY1,pink
22,MBP,blue
23,HPCAL1,blue
24,SLC25A6,blue
25,PPP1CC,blue
26,LOC100190460,brown
27,UBB,brown
28,DSTN,black
29,ATP5I,pink
30,EIF1,pink
31,CHCHD2,brown
32,HBAA,grey
33,LOC100229760,brown
34,LOC100190381,pink
35,TUBB4B,blue
36,MIR2985-1,red
37,LOC100190525,blue
38,SOD1,brown
39,LOC100222254,brown
40,ATP6V0C,black
41,RPS23,brown
42,COX7B,pink
43,COX6C,pink
44,ATF4,pink
45,COX6A1,brown
46,LOC100190438,blue
47,TPT1,pink
48,BASP1,grey
49,RPLP1,brown
50,HNRNPDL,grey
51,LOC100226437,brown
52,PVALB,blue
53,LOC100190483,pink
54,ATP5J2,brown
55,SULT4A1,grey
56,UQCR11,pink
57,COX7C,brown
58,NCS1,black
59,PLP1,blue
60,RPL17,brown
61,UQCR10,pink
62,SNCA,blue
63,HSPH1,brown
64,RPL9,grey
65,EDF1,grey
66,SNCB,brown
67,RPL37,blue
68,NME2,brown
69,LOC100190585,brown
70,LOC100219261,blue
71,RPS17,blue
72,MDH2,pink
73,COX7A2,pink
74,LOC105761000,pink
75,RPL26L1,brown
76,YWHAH,black
77,HINT1,pink
78,ATP5O,pink
79,LOC100190062,brown
80,SYT1,blue
81,PPP1R7,red
82,LAPTM4A,black
83,LOC100190249,black
84,SLC25A5,brown
85,LOC100190398,brown
86,RPS8,blue
87,RPL21,grey
88,DNAJA1,grey
89,RAB14,black
90,LOC100190541,blue
91,LOC100190497,pink
92,PEBP1,blue
93,RPS6,black
94,MAP1LC3B,pink
95,SOD2,blue
96,RPL5,grey
97,RPL27,black
98,TMEM50A,brown
99,DRD1,blue
100,RPL23A,grey
101,RPSA,brown
102,LOC100218849,pink
103,RPL27A,pink
104,LOC100190699,pink
105,RPS3A,grey
106,HAGH,brown
107,RPS14,brown
108,RPL6,brown
109,ATP5L,brown
110,LOC100218354,pink
111,RPS25,brown
112,ATP5C1,pink
113,NDUFB8,pink
114,LOC100190679,black
115,PRDX1,black
116,NDUFA5,blue
117,CYCS,blue
118,AHSA1,grey
119,RPL7A,brown
120,ATP6V1G1,black
121,ARPC2,pink
122,DBI,pink
123,ATP6V1F,brown
124,LOC100190230,brown
125,LOC100190355,grey
126,LOC100190507,brown
127,RPL34,black
128,MIR2996-2,red
129,H3F3B,black
130,PDCL,blue
131,ELMO1,blue
132,RPS11,brown
133,LOC100190357,pink
134,CTSB,brown
135,RPL32,black
136,LOC100190014,blue
137,DYNLL1,blue
138,NDUFAB1,pink
139,LOC100190344,pink
140,RPL24,black
141,SRSF3,grey
142,RAB1A,black
143,LOC100227575,pink
144,EGR1,blue
145,LOC100190348,pink
146,RPL36,brown
147,RAB6A,grey
148,ATP5F1,pink
149,RPL14,blue
150,ARL6IP1,blue
151,SERF2,brown
152,RHOA,black
153,LOC100190743,black
154,RPS7,blue
155,SELENOT,pink
156,TMEM159,black
157,LRRC73,brown
158,CACYBP,grey
159,DCTN3,pink
160,RPL39,brown
161,PRDX6,red
162,LOC101232963,brown
163,LOC100190257,pink
164,LOC100190674,brown
165,GHITM,brown
166,CHCHD10,pink
167,LOC100220538,brown
168,RPL7,pink
169,CLTA,pink
170,ATP5J,brown
171,RPL35A,pink
172,RPS3,brown
173,ATP6V0B,brown
174,H3F3A,black
175,ATP5H,pink
176,ATP5D,pink
177,GPX4,pink
178,VSNL1,blue
179,LOC100190094,red
180,DYNLRB1,black
181,LOC100190127,pink
182,HSPE1,black
183,SUB1,blue
184,LOC100190473,brown
185,LOC100190701,pink
186,PSMD1,blue
187,RPL31,grey
188,RPS15,brown
189,NDUFB4,brown
190,YWHAG,grey
191,TIMM17A,pink
192,LOC100190045,blue
193,MPC1,blue
194,GABARAPL2,blue
195,ACBD7,blue
196,HSBP1,blue
197,SCAMP5,brown
198,PHPT1,brown
199,RAN,black
200,NDUFA10,pink
201,UQCRH,brown
202,MIR2996-1,grey
203,RPL15,blue
204,RPL8,brown
205,LOC100190474,black
206,PSMA3,blue
207,NDUFB9,pink
208,NPM1,brown
209,NDUFB2,brown
210,NDUFA6,grey
211,TXN,pink
212,SUPT4H1,brown
213,PLEKHB2,blue
214,LOC100190346,black
215,PENK,blue
216,IDH3A,black
217,TAGLN3,blue
218,GRB2,grey
219,LOC100223433,black
220,ATP6V1E1,black
